Availability,Categories,Description,Gender,Image,Link,Name,NumberOfReviews,PromoPrice,Rate,RegularPrice
Available online,Twarz/Pielęgnacja twarzy/Kremy do twarzy,"wypełniający krem przeciwzmarszczkowy na dzień i na noc, każdy rodzaj cery50 ml, nr kat. 378794",kobieta,https://www.ros.net.pl/GalleryImages/product_photos/1280_720/331607_378794_1280_720.png,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Lirene-Acid-Power-wypelniajacy-krem-przeciwzmarszczkowy-na-dzien-i-na-noc-kazdy-rodzaj-cery-50-ml,378794,9223",LIRENE Acid Power,None,19.99,None,26.99
Available online,Twarz/Pielęgnacja twarzy/Serum,"serum do twarzy na noc30 ml, nr kat. 390628",None,https://www.ros.net.pl/GalleryImages/product_photos/1280_720/349995_390628_1280_720.png,"https://www.rossmann.pl/Produkt/Serum/LOreal-Paris-Age-Perfect-Cell-Renew-serum-do-twarzy-na-noc-30-ml,390628,9225",L'ORÉAL PARIS Age Perfect Cell Renew,None,58.99,None,89.99
Available online,Twarz/Pielęgnacja twarzy/Serum,"booster hialuronowy15 ml, nr kat. 340617",None,https://www.ros.net.pl/GalleryImages/product_photos/1280_720/347424_340617_1280_720.png,"https://www.rossmann.pl/Produkt/Serum/Alterra-booster-hialuronowy-15-ml,340617,9225",ALTERRA,None,13.49,None,18.99
Available online,Twarz/Pielęgnacja twarzy/Serum,"przeciwzmarszczkowe kapsułki pielęgnacyjne z kompleksem anti-age7 szt., nr kat. 194846",None,https://www.ros.net.pl/GalleryImages/product_photos/1280_720/302728_194846_1280_720_99113.png,"https://www.rossmann.pl/Produkt/Serum/Isana-Q10-przeciwzmarszczkowe-kapsulki-pielegnacyjne-z-kompleksem-anti-age-7-szt,194846,9225",ISANA Q10,None,6.69,None,9.49
Available online,Twarz/Pielęgnacja twarzy/Serum,"kapsułki z retinolem do twarzy1 szt., nr kat. 393647",None,https://www.ros.net.pl/GalleryImages/product_photos/1280_720/347343_393647_1280_720.png,"https://www.rossmann.pl/Produkt/Serum/Isana-Night-Beauty-kapsulki-z-retinolem-do-twarzy-1-szt,393647,9225",ISANA Night & Beauty,None,6.69,None,9.49
Available online,Twarz/Pielęgnacja twarzy/Serum,"ampułki koncentrat nawilżający7x2 ml, nr kat. 180073",None,https://www.ros.net.pl/GalleryImages/product_photos/1280_720/239196_180073_1280_720_76882.png,"https://www.rossmann.pl/Produkt/Serum/Isana-Hyaluron-Booster-ampulki-koncentrat-nawilzajacy-7x2-ml,180073,9225",ISANA Hyaluron Booster,None,16.99,None,23.99
Available online,Twarz/Pielęgnacja twarzy/Serum,"ampułki, koncentrat przeciwzmarszczkowy7×2 ml, nr kat. 188189",None,https://www.ros.net.pl/GalleryImages/product_photos/1280_720/172313_188189_1280_720_47196.png,"https://www.rossmann.pl/Produkt/Serum/Isana-Q10-ampulki-koncentrat-przeciwzmarszczkowy-72-ml,188189,9225",ISANA Q10,None,16.99,None,23.99
Available online,Twarz/Pielęgnacja twarzy/Serum,"ampułki z prowitaminą B57x2 ml, nr kat. 377724",None,https://www.ros.net.pl/GalleryImages/product_photos/1280_720/325714_377724_1280_720.png,"https://www.rossmann.pl/Produkt/Serum/Isana-ampulki-z-prowitamina-B5-7x2-ml,377724,9225",ISANA,None,16.99,None,23.99
Available online,Twarz/Pielęgnacja twarzy/Serum,"ampułki z retinolem witaminą C i witaminą E7x2 ml, nr kat. 317776",None,https://www.ros.net.pl/GalleryImages/product_photos/1280_720/315373_317776_1280_720_104286.png,"https://www.rossmann.pl/Produkt/Serum/Isana-Vitamin-Booster-ampulki-z-retinolem-witamina-C-i-witamina-E-7x2-ml,317776,9225",ISANA Vitamin Booster,None,22.49,None,31.99
Available online,Twarz/Pielęgnacja twarzy/Kremy do twarzy,"rewitalizujący krem wyrównujący koloryt na dzień i na noc, cera z przebarwieniami50 ml, nr kat. 381434",kobieta,https://www.ros.net.pl/GalleryImages/product_photos/1280_720/331608_381434_1280_720.png,"https://www.rossmann.pl/Produkt/Kremy-do-twarzy/Lirene-Acid-Power-rewitalizujacy-krem-wyrownujacy-koloryt-na-dzien-i-na-noc-cera-z-przebarwieniami-,381434,9223",LIRENE Acid Power,None,19.99,None,26.99
